time,heartRate,hydration
2026-01-25D02:34:36.000000000,57,61.78
2026-01-25D02:34:46.000000000,66,62.88
2026-01-25D02:38:07.000000000,63,61.38
2026-01-25D02:40:24.000000000,63,61.38
2026-01-25D02:44:47.000000000,52,64.58
2026-01-25D02:45:14.000000000,60,62.72
2026-01-25D02:46:11.000000000,57,60.18
2026-01-25D02:49:00.000000000,64,62.67
2026-01-25D02:52:26.000000000,58,65.08
2026-01-25D02:53:53.000000000,57,64.62
2026-01-25D02:56:22.000000000,58,64.21
2026-01-25D02:57:51.000000000,56,62.65
2026-01-25D02:59:13.000000000,64,61.68
2026-01-25D02:59:18.000000000,60,61.17
2026-01-25D03:00:13.000000000,60,63.07
2026-01-25D03:03:10.000000000,57,62.14
2026-01-25D03:06:39.000000000,64,65.91
2026-01-25D03:11:03.000000000,57,62.42
2026-01-25D03:15:55.000000000,61,61.34
2026-01-25D03:16:33.000000000,68,60.81
2026-01-25D03:18:12.000000000,66,63.99
2026-01-25D03:19:28.000000000,72,63.81
2026-01-25D03:20:11.000000000,63,56.41
2026-01-25D03:22:49.000000000,62,64
2026-01-25D03:27:03.000000000,66,61.09
2026-01-25D03:29:49.000000000,59,59.34
2026-01-25D03:31:51.000000000,71,60.74
2026-01-25D03:36:14.000000000,70,58.6
2026-01-25D03:40:46.000000000,63,58.32
2026-01-25D03:41:44.000000000,59,62.44
2026-01-25D03:45:44.000000000,72,57.68
2026-01-25D03:49:30.000000000,64,63.56
2026-01-25D03:53:45.000000000,59,60.48
2026-01-25D03:55:41.000000000,67,59.36
2026-01-25D04:00:00.000000000,69,59.24
2026-01-25D04:03:31.000000000,74,61.33
2026-01-25D04:07:24.000000000,70,58.42
2026-01-25D04:08:34.000000000,71,58.16
2026-01-25D04:09:53.000000000,66,61.36
2026-01-25D04:11:40.000000000,57,59.15
2026-01-25D04:14:56.000000000,83,62.12
2026-01-25D04:19:12.000000000,72,53.16
2026-01-25D04:23:02.000000000,66,60.32
2026-01-25D04:28:00.000000000,69,58.61
2026-01-25D04:29:42.000000000,65,58.14
2026-01-25D04:34:32.000000000,59,58.06
2026-01-25D04:38:45.000000000,61,56.21
2026-01-25D04:41:35.000000000,75,58.66
2026-01-25D04:42:09.000000000,67,62.59
2026-01-25D04:46:20.000000000,64,57.94
2026-01-25D04:48:10.000000000,66,58.46
2026-01-25D04:49:05.000000000,70,56.79
2026-01-25D04:50:30.000000000,69,58.98
2026-01-25D04:52:47.000000000,73,55.94
2026-01-25D04:57:36.000000000,78,55.54
2026-01-25D04:59:58.000000000,72,58.53
2026-01-25D05:03:06.000000000,65,61.6
2026-01-25D05:07:43.000000000,66,58.21
2026-01-25D05:08:56.000000000,73,58.35
2026-01-25D05:09:34.000000000,69,57.79
2026-01-25D05:14:00.000000000,69,57.37
2026-01-25D05:14:57.000000000,71,59.91
2026-01-25D05:18:26.000000000,69,55.16
2026-01-25D05:20:36.000000000,70,62.07
2026-01-25D05:24:35.000000000,73,53.68
2026-01-25D05:25:22.000000000,68,52.54
2026-01-25D05:29:26.000000000,75,56.59
2026-01-25D05:31:21.000000000,74,51.65
2026-01-25D05:35:34.000000000,75,54.4
2026-01-25D05:38:09.000000000,79,53.74
2026-01-25D05:41:16.000000000,74,57.14
2026-01-25D05:42:55.000000000,74,58.28
2026-01-25D05:43:07.000000000,71,53.15
2026-01-25D05:46:15.000000000,74,57.51
2026-01-25D05:51:00.000000000,69,52.02
2026-01-25D05:54:19.000000000,72,54.37
2026-01-25D05:57:38.000000000,73,56.38
2026-01-25D06:00:17.000000000,70,57.6
2026-01-25D06:01:54.000000000,64,54.02
2026-01-25D06:04:38.000000000,77,56.56
2026-01-25D06:05:43.000000000,79,58.35
2026-01-25D06:07:49.000000000,71,56.72
2026-01-25D06:08:44.000000000,76,57.34
2026-01-25D06:13:25.000000000,69,54.34
2026-01-25D06:13:34.000000000,75,55.18
2026-01-25D06:15:10.000000000,81,53.43
2026-01-25D06:18:04.000000000,73,52.32
2026-01-25D06:18:30.000000000,69,55.31
2026-01-25D06:18:35.000000000,82,51.37
2026-01-25D06:20:52.000000000,72,56.05
2026-01-25D06:24:49.000000000,74,58.04
2026-01-25D06:25:05.000000000,81,54.8
2026-01-25D06:25:55.000000000,79,54.48
2026-01-25D06:26:33.000000000,74,52.07
2026-01-25D06:27:55.000000000,79,54.86
2026-01-25D06:31:37.000000000,72,52.6
2026-01-25D06:32:54.000000000,71,52.25
2026-01-25D06:37:40.000000000,81,52.95
2026-01-25D06:41:53.000000000,79,54
2026-01-25D06:42:44.000000000,87,55.5
2026-01-25D06:44:49.000000000,82,55.2
2026-01-25D06:48:27.000000000,72,54.76
2026-01-25D06:52:30.000000000,87,49.02
2026-01-25D06:53:30.000000000,79,55.28
2026-01-25D06:55:21.000000000,79,47.43
2026-01-25D06:56:13.000000000,76,52.15
2026-01-25D06:57:18.000000000,85,51.79
2026-01-25D06:57:48.000000000,75,55.75
2026-01-25D07:02:44.000000000,78,52.8
2026-01-25D07:07:05.000000000,80,52.74
2026-01-25D07:07:17.000000000,83,54.87
2026-01-25D07:09:14.000000000,80,52.65
2026-01-25D07:13:31.000000000,79,56.56
2026-01-25D07:16:35.000000000,88,50.53
2026-01-25D07:20:06.000000000,78,55.75
2026-01-25D07:22:17.000000000,92,53.2
2026-01-25D07:23:17.000000000,79,47.45
2026-01-25D07:26:55.000000000,87,50.89
2026-01-25D07:27:13.000000000,85,55.23
2026-01-25D07:27:45.000000000,89,48.72
2026-01-25D07:29:07.000000000,82,48.83
2026-01-25D07:32:47.000000000,87,50.5
2026-01-25D07:35:25.000000000,79,51.16
2026-01-25D07:35:43.000000000,83,48.95
2026-01-25D07:38:54.000000000,83,51.97
2026-01-25D07:39:05.000000000,81,51.17
2026-01-25D07:39:12.000000000,79,46.44
2026-01-25D07:41:07.000000000,84,54.53
2026-01-25D07:45:09.000000000,90,46.12
2026-01-25D07:49:12.000000000,89,48.98
2026-01-25D07:53:50.000000000,82,50.33
2026-01-25D07:58:48.000000000,84,48.93
2026-01-25D08:02:39.000000000,82,52.65
2026-01-25D08:02:58.000000000,85,51.25
2026-01-25D08:06:14.000000000,83,51.44
2026-01-25D08:08:17.000000000,86,49.5
2026-01-25D08:08:49.000000000,81,50.47
2026-01-25D08:12:15.000000000,88,51.69
2026-01-25D08:12:58.000000000,91,49.61
2026-01-25D08:17:35.000000000,88,46.24
2026-01-25D08:21:30.000000000,86,50.74
2026-01-25D08:23:00.000000000,94,48.93
2026-01-25D08:25:10.000000000,87,52.4
2026-01-25D08:25:39.000000000,87,48.58
2026-01-25D08:28:08.000000000,88,51.62
2026-01-25D08:28:25.000000000,85,52.24
2026-01-25D08:32:01.000000000,91,52.1
2026-01-25D08:32:30.000000000,90,50.23
2026-01-25D08:33:42.000000000,82,47.09
2026-01-25D08:34:53.000000000,83,46.76
2026-01-25D08:38:50.000000000,91,48.85
2026-01-25D08:40:43.000000000,83,50.64
2026-01-25D08:43:13.000000000,85,49.63
2026-01-25D08:45:08.000000000,87,48.72
2026-01-25D08:49:00.000000000,84,48.63
2026-01-25D08:50:55.000000000,91,45.47
2026-01-25D08:51:33.000000000,90,47.1
2026-01-25D08:53:28.000000000,90,46.9
2026-01-25D08:57:56.000000000,85,52.83
2026-01-25D09:01:56.000000000,94,48.07
2026-01-25D09:03:23.000000000,93,47.22
2026-01-25D09:04:09.000000000,95,48.83
2026-01-25D09:05:54.000000000,88,48.02
2026-01-25D09:06:04.000000000,89,48.54
2026-01-25D09:09:08.000000000,87,44.46
2026-01-25D09:13:54.000000000,86,46.96
2026-01-25D09:17:44.000000000,95,45.85
2026-01-25D09:21:37.000000000,93,51.56
2026-01-25D09:26:30.000000000,96,46.23
2026-01-25D09:29:04.000000000,88,45.6
2026-01-25D09:33:45.000000000,97,49.19
2026-01-25D09:37:07.000000000,93,46.54
2026-01-25D09:38:21.000000000,94,47.03
2026-01-25D09:40:17.000000000,96,43.45
2026-01-25D09:40:25.000000000,89,45.47
2026-01-25D09:42:04.000000000,99,47.9
2026-01-25D09:44:40.000000000,86,47.51
2026-01-25D09:47:01.000000000,93,45.59
2026-01-25D09:51:12.000000000,96,42.9
2026-01-25D09:55:19.000000000,85,47.7
2026-01-25D09:55:54.000000000,91,47.05
2026-01-25D09:56:38.000000000,85,44.68
2026-01-25D10:00:31.000000000,101,47.5
2026-01-25D10:01:11.000000000,96,44.13
2026-01-25D10:04:58.000000000,92,46.61
2026-01-25D10:05:08.000000000,89,42.66
2026-01-25D10:08:52.000000000,89,48.01
2026-01-25D10:10:11.000000000,95,46.96
2026-01-25D10:10:19.000000000,93,47.35
2026-01-25D10:12:37.000000000,94,46.3
2026-01-25D10:14:39.000000000,93,46.61
2026-01-25D10:16:17.000000000,90,46.82
2026-01-25D10:17:23.000000000,96,43.81
2026-01-25D10:20:41.000000000,96,47.06
2026-01-25D10:24:08.000000000,94,43.71
2026-01-25D10:24:38.000000000,89,49.98
2026-01-25D10:27:35.000000000,91,46.41
2026-01-25D10:29:52.000000000,93,48.27
2026-01-25D10:31:54.000000000,96,44
2026-01-25D10:36:33.000000000,93,46.39
2026-01-25D10:40:09.000000000,100,44.78
2026-01-25D10:43:58.000000000,87,46.06
2026-01-25D10:44:22.000000000,96,45.85
2026-01-25D10:46:19.000000000,100,45.83
2026-01-25D10:48:43.000000000,95,42.09
2026-01-25D10:49:34.000000000,90,46.32
2026-01-25D10:49:39.000000000,91,44.52
2026-01-25D10:51:13.000000000,95,45.16
2026-01-25D10:53:39.000000000,92,47.93
2026-01-25D10:54:21.000000000,99,43.7
2026-01-25D10:59:18.000000000,93,45.08
2026-01-25D11:01:41.000000000,96,47.75
2026-01-25D11:06:04.000000000,95,42.04
2026-01-25D11:08:49.000000000,99,45.83
2026-01-25D11:11:51.000000000,92,47.13
2026-01-25D11:12:05.000000000,97,48.49
2026-01-25D11:16:30.000000000,98,43.85
2026-01-25D11:18:52.000000000,94,45.08
2026-01-25D11:21:48.000000000,94,49.11
2026-01-25D11:22:05.000000000,91,43.03
2026-01-25D11:24:57.000000000,91,45.03
2026-01-25D11:27:11.000000000,91,49.24
2026-01-25D11:28:39.000000000,97,44.86
2026-01-25D11:30:24.000000000,86,43.23
2026-01-25D11:35:01.000000000,91,45.03
2026-01-25D11:39:30.000000000,89,46.77
2026-01-25D11:40:12.000000000,89,42.47
2026-01-25D11:41:50.000000000,94,44.01
2026-01-25D11:43:29.000000000,97,47.49
2026-01-25D11:44:42.000000000,97,47.62
2026-01-25D11:48:42.000000000,99,47.19
2026-01-25D11:51:03.000000000,88,40.33
2026-01-25D11:52:23.000000000,96,41.75
2026-01-25D11:53:02.000000000,94,45.28
2026-01-25D11:53:07.000000000,96,48.19
2026-01-25D11:54:11.000000000,101,48.64
2026-01-25D11:58:42.000000000,89,43.91
2026-01-25D12:02:35.000000000,90,40.84
2026-01-25D12:07:09.000000000,96,45.42
2026-01-25D12:11:59.000000000,93,46.99
2026-01-25D12:16:54.000000000,96,46.61
2026-01-25D12:20:31.000000000,98,44.71
2026-01-25D12:23:20.000000000,97,47.17
2026-01-25D12:23:29.000000000,94,47.74
2026-01-25D12:24:51.000000000,91,45.23
2026-01-25D12:25:57.000000000,107,47.19
2026-01-25D12:28:13.000000000,100,45.55
2026-01-25D12:29:46.000000000,88,40.11
2026-01-25D12:33:47.000000000,89,42.97
2026-01-25D12:34:33.000000000,93,43.58
2026-01-25D12:36:06.000000000,93,44.4
2026-01-25D12:41:05.000000000,95,45.41
2026-01-25D12:42:53.000000000,99,46.11
2026-01-25D12:43:11.000000000,95,43.34
2026-01-25D12:48:03.000000000,93,44.63
2026-01-25D12:51:06.000000000,91,45.51
2026-01-25D12:53:15.000000000,91,44.39
2026-01-25D12:53:42.000000000,97,44.13
2026-01-25D12:54:49.000000000,91,47.21
2026-01-25D12:57:16.000000000,92,48.66
2026-01-25D12:59:53.000000000,95,46.68
2026-01-25D13:02:22.000000000,96,42.58
2026-01-25D13:06:11.000000000,98,44.03
2026-01-25D13:07:59.000000000,96,41.09
2026-01-25D13:09:47.000000000,90,43.98
2026-01-25D13:10:30.000000000,88,47.01
2026-01-25D13:13:52.000000000,89,47.29
2026-01-25D13:16:10.000000000,88,45.54
2026-01-25D13:17:21.000000000,97,42.01
2026-01-25D13:20:24.000000000,90,47.12
2026-01-25D13:21:10.000000000,100,46.75
2026-01-25D13:21:29.000000000,91,42.98
2026-01-25D13:23:24.000000000,94,47.07
2026-01-25D13:26:05.000000000,91,45.35
2026-01-25D13:30:58.000000000,93,43.26
2026-01-25D13:34:53.000000000,93,44.82
2026-01-25D13:37:34.000000000,94,45.53
2026-01-25D13:38:16.000000000,90,46.18
2026-01-25D13:39:57.000000000,85,43.73
2026-01-25D13:44:50.000000000,91,45.46
2026-01-25D13:49:08.000000000,90,45.04
2026-01-25D13:52:28.000000000,98,46.83
2026-01-25D13:53:58.000000000,95,48.44
2026-01-25D13:54:12.000000000,99,46.34
2026-01-25D13:54:21.000000000,91,43.91
2026-01-25D13:56:28.000000000,97,49.64
2026-01-25D13:58:30.000000000,87,47.39
2026-01-25D14:03:28.000000000,98,48.16
2026-01-25D14:06:11.000000000,85,48.11
2026-01-25D14:10:03.000000000,95,43.32
2026-01-25D14:13:43.000000000,78,46.46
2026-01-25D14:16:51.000000000,85,44.83
2026-01-25D14:17:10.000000000,91,45.79
2026-01-25D14:19:51.000000000,91,47.39
2026-01-25D14:22:11.000000000,93,49.5
2026-01-25D14:26:36.000000000,96,46.23
2026-01-25D14:29:17.000000000,91,47.36
2026-01-25D14:30:08.000000000,91,45.46
2026-01-25D14:33:05.000000000,96,48.97
2026-01-25D14:35:19.000000000,86,48.03
2026-01-25D14:36:58.000000000,84,44.35
2026-01-25D14:38:57.000000000,85,49.48
2026-01-25D14:43:04.000000000,87,49.3
2026-01-25D14:48:00.000000000,89,50.74
2026-01-25D14:52:46.000000000,86,48.69
2026-01-25D14:57:33.000000000,87,50.21
2026-01-25D14:58:46.000000000,86,51.32
2026-01-25D15:01:18.000000000,85,47.5
2026-01-25D15:01:33.000000000,82,49.8
2026-01-25D15:05:51.000000000,91,46.16
2026-01-25D15:06:33.000000000,88,46.95
2026-01-25D15:08:51.000000000,91,46.09
2026-01-25D15:12:15.000000000,91,53.88
2026-01-25D15:12:42.000000000,87,47.93
2026-01-25D15:16:24.000000000,90,50.06
2026-01-25D15:18:49.000000000,92,46.76
2026-01-25D15:20:37.000000000,85,47.93
2026-01-25D15:24:11.000000000,85,52.66
2026-01-25D15:26:06.000000000,93,50.47
2026-01-25D15:27:54.000000000,85,45.7
2026-01-25D15:30:49.000000000,89,50.18
2026-01-25D15:33:06.000000000,89,47.82
2026-01-25D15:38:03.000000000,84,45.72
2026-01-25D15:40:14.000000000,83,49.52
2026-01-25D15:42:04.000000000,93,54.11
2026-01-25D15:43:40.000000000,81,50.28
2026-01-25D15:48:31.000000000,90,51.41
2026-01-25D15:49:26.000000000,81,48.71
2026-01-25D15:49:59.000000000,85,49.05
2026-01-25D15:53:37.000000000,86,51.68
2026-01-25D15:58:08.000000000,81,49.19
2026-01-25D16:02:29.000000000,82,49.52
2026-01-25D16:04:14.000000000,81,47.9
2026-01-25D16:06:08.000000000,86,48.43
2026-01-25D16:09:14.000000000,85,49.27
2026-01-25D16:09:19.000000000,85,49.42
2026-01-25D16:10:18.000000000,81,50.43
2026-01-25D16:12:51.000000000,84,52.1
2026-01-25D16:15:12.000000000,86,50.42
2026-01-25D16:18:38.000000000,86,50.03
2026-01-25D16:20:39.000000000,86,51.17
2026-01-25D16:23:17.000000000,80,51.63
2026-01-25D16:28:12.000000000,85,51.02
2026-01-25D16:29:19.000000000,84,49.4
2026-01-25D16:33:27.000000000,80,51.56
2026-01-25D16:33:56.000000000,84,49.49
2026-01-25D16:35:30.000000000,81,51.16
2026-01-25D16:36:49.000000000,78,50.4
2026-01-25D16:41:47.000000000,85,48.51
2026-01-25D16:45:21.000000000,87,52.5
2026-01-25D16:45:42.000000000,82,50.09
2026-01-25D16:47:54.000000000,76,49.49
2026-01-25D16:52:09.000000000,81,51.81
2026-01-25D16:55:12.000000000,73,51.97
2026-01-25D16:58:18.000000000,84,50.84
2026-01-25D17:00:54.000000000,80,54.7
2026-01-25D17:01:23.000000000,79,53.68
2026-01-25D17:04:27.000000000,85,55.39
2026-01-25D17:07:49.000000000,73,55.78
2026-01-25D17:10:34.000000000,73,53.75
2026-01-25D17:13:35.000000000,78,52.89
2026-01-25D17:18:24.000000000,83,54.88
2026-01-25D17:19:31.000000000,84,53.84
2026-01-25D17:22:05.000000000,82,55.1
2026-01-25D17:24:43.000000000,75,53.72
2026-01-25D17:27:23.000000000,84,55.62
2026-01-25D17:28:16.000000000,81,57.29
2026-01-25D17:29:44.000000000,72,54.52
2026-01-25D17:32:45.000000000,72,51.71
2026-01-25D17:35:17.000000000,82,56.4
2026-01-25D17:37:19.000000000,72,55.67
2026-01-25D17:38:26.000000000,74,53.52
2026-01-25D17:41:39.000000000,80,52.77
2026-01-25D17:42:32.000000000,78,50.95
2026-01-25D17:46:53.000000000,81,54.83
2026-01-25D17:50:41.000000000,76,55.41
2026-01-25D17:53:06.000000000,80,55.95
2026-01-25D17:56:45.000000000,67,58.04
2026-01-25D18:00:20.000000000,74,55.04
2026-01-25D18:00:56.000000000,77,51.52
2026-01-25D18:03:38.000000000,79,53.28
2026-01-25D18:08:27.000000000,70,56.25
2026-01-25D18:13:17.000000000,75,55.2
2026-01-25D18:15:45.000000000,74,55.62
2026-01-25D18:16:08.000000000,71,55.13
2026-01-25D18:16:30.000000000,77,58.12
2026-01-25D18:20:51.000000000,74,59.06
2026-01-25D18:22:13.000000000,73,56.21
2026-01-25D18:25:12.000000000,68,57.99
2026-01-25D18:28:30.000000000,77,56.31
2026-01-25D18:30:27.000000000,73,56.38
2026-01-25D18:32:25.000000000,66,56.22
2026-01-25D18:36:11.000000000,79,52.75
2026-01-25D18:39:01.000000000,65,53.73
2026-01-25D18:41:17.000000000,71,56.66
2026-01-25D18:45:45.000000000,66,58.35
2026-01-25D18:46:44.000000000,68,57.41
2026-01-25D18:48:59.000000000,64,55.68
2026-01-25D18:53:51.000000000,76,58.79
2026-01-25D18:58:21.000000000,73,56.93
2026-01-25D19:01:07.000000000,73,57.87
2026-01-25D19:02:38.000000000,69,57.84
2026-01-25D19:03:37.000000000,72,63.84
2026-01-25D19:08:29.000000000,66,55.99
2026-01-25D19:11:31.000000000,75,60.76
2026-01-25D19:11:43.000000000,72,54.91
2026-01-25D19:15:54.000000000,74,60.08
2026-01-25D19:20:13.000000000,76,60.93
2026-01-25D19:21:11.000000000,65,56.39
2026-01-25D19:25:24.000000000,64,60.17
2026-01-25D19:29:27.000000000,63,60.2
2026-01-25D19:33:20.000000000,69,57.7
2026-01-25D19:34:31.000000000,64,59.44
2026-01-25D19:35:26.000000000,64,58.53
2026-01-25D19:37:07.000000000,68,55.66
2026-01-25D19:38:43.000000000,62,54.66
2026-01-25D19:43:11.000000000,71,58.52
2026-01-25D19:48:06.000000000,54,60.73
2026-01-25D19:49:46.000000000,62,58.83
2026-01-25D19:51:18.000000000,64,59.75
2026-01-25D19:52:40.000000000,69,57.49
2026-01-25D19:57:32.000000000,64,63.85
2026-01-25D19:59:36.000000000,79,54.38
2026-01-25D20:02:25.000000000,67,64.36
2026-01-25D20:05:31.000000000,63,58.45
2026-01-25D20:09:18.000000000,65,62.11
2026-01-25D20:09:29.000000000,63,62.33
2026-01-25D20:13:56.000000000,63,62.79
2026-01-25D20:16:41.000000000,66,62.53
2026-01-25D20:19:16.000000000,68,59.97
2026-01-25D20:20:45.000000000,57,59.46
2026-01-25D20:23:16.000000000,59,62.33
2026-01-25D20:25:12.000000000,64,63.01
2026-01-25D20:25:52.000000000,64,55.81
2026-01-25D20:30:41.000000000,64,64.83
2026-01-25D20:33:53.000000000,66,62.81
2026-01-25D20:35:19.000000000,65,63.55
2026-01-25D20:35:25.000000000,68,63.18
2026-01-25D20:38:46.000000000,67,60.56
2026-01-25D20:39:01.000000000,63,60.14
2026-01-25D20:42:59.000000000,64,62.82
2026-01-25D20:46:18.000000000,63,63.15
2026-01-25D20:48:21.000000000,62,61.33
2026-01-25D20:48:45.000000000,63,62.53
2026-01-25D20:53:10.000000000,62,60.8
2026-01-25D20:58:07.000000000,61,62.11
2026-01-25D21:02:27.000000000,64,60.63
2026-01-25D21:06:13.000000000,56,61.18
2026-01-25D21:10:03.000000000,55,59.67
2026-01-25D21:11:00.000000000,70,60.27
2026-01-25D21:15:44.000000000,61,63.67
2026-01-25D21:17:09.000000000,61,63.83
2026-01-25D21:20:35.000000000,60,60.77
2026-01-25D21:23:17.000000000,63,61.86
2026-01-25D21:25:21.000000000,59,62.85
2026-01-25D21:26:24.000000000,66,63.16
2026-01-25D21:30:03.000000000,55,63.14
2026-01-25D21:32:15.000000000,52,59.63
2026-01-25D21:36:03.000000000,61,61.32
2026-01-25D21:39:36.000000000,57,65.68
2026-01-25D21:41:35.000000000,51,61.12
2026-01-25D21:45:08.000000000,54,60.27
2026-01-25D21:45:26.000000000,60,66.13
2026-01-25D21:45:39.000000000,58,61.01
2026-01-25D21:46:23.000000000,64,62.44
2026-01-25D21:50:24.000000000,56,61.54
2026-01-25D21:55:09.000000000,55,66.57
2026-01-25D21:58:34.000000000,65,65.18
2026-01-25D22:02:44.000000000,55,63.88
2026-01-25D22:07:26.000000000,55,63.82
2026-01-25D22:11:25.000000000,56,66.31
2026-01-25D22:11:33.000000000,51,66.13
2026-01-25D22:14:11.000000000,59,63.8
2026-01-25D22:14:44.000000000,56,61.76
2026-01-25D22:16:37.000000000,56,64.01
2026-01-25D22:18:19.000000000,55,65.82
2026-01-25D22:21:58.000000000,52,64.93
2026-01-25D22:26:55.000000000,56,63.64
2026-01-25D22:28:14.000000000,59,61.37
2026-01-25D22:30:44.000000000,61,67.96
2026-01-25D22:32:56.000000000,60,65.88
2026-01-25D22:33:42.000000000,59,64.43
2026-01-25D22:34:27.000000000,52,65.67
2026-01-25D22:35:05.000000000,57,62.45
2026-01-25D22:35:26.000000000,62,67.11
2026-01-25D22:38:15.000000000,51,64.53
2026-01-25D22:40:52.000000000,56,66.26
2026-01-25D22:42:12.000000000,54,65.37
2026-01-25D22:43:43.000000000,61,66.1
2026-01-25D22:45:44.000000000,50,64.65
2026-01-25D22:46:15.000000000,49,64.63
2026-01-25D22:51:06.000000000,62,63.66
2026-01-25D22:53:24.000000000,49,61.98
2026-01-25D22:57:07.000000000,48,65.01
2026-01-25D22:59:59.000000000,54,67.94
2026-01-25D23:01:41.000000000,57,64.25
2026-01-25D23:06:13.000000000,55,65.91
2026-01-25D23:10:14.000000000,46,62.07
2026-01-25D23:13:11.000000000,55,65.22
2026-01-25D23:16:25.000000000,60,63.49
2026-01-25D23:18:31.000000000,51,66.81
2026-01-25D23:19:21.000000000,57,63.13
2026-01-25D23:20:29.000000000,59,65.98
2026-01-25D23:22:43.000000000,54,64.45
2026-01-25D23:26:00.000000000,50,60
2026-01-25D23:29:05.000000000,47,65.09
2026-01-25D23:34:01.000000000,56,64.07
2026-01-25D23:38:47.000000000,56,65.36
2026-01-25D23:39:20.000000000,57,63.16
2026-01-25D23:41:53.000000000,54,64.85
2026-01-25D23:46:24.000000000,52,63.87
2026-01-25D23:46:39.000000000,47,66.9
2026-01-25D23:49:27.000000000,58,66.99
2026-01-25D23:51:24.000000000,49,61.23
2026-01-25D23:54:35.000000000,53,64.91
2026-01-25D23:59:34.000000000,58,65.64
2026-01-25D00:03:30.000000000,52,62.97
2026-01-25D00:07:21.000000000,51,64.84
2026-01-25D00:09:03.000000000,59,68.43
2026-01-25D00:10:02.000000000,55,65.82
2026-01-25D00:11:57.000000000,53,62.45
2026-01-25D00:14:33.000000000,56,65.83
2026-01-25D00:18:43.000000000,55,63.3
2026-01-25D00:19:56.000000000,47,65.37
2026-01-25D00:24:49.000000000,51,65.87
2026-01-25D00:29:03.000000000,60,63.29
2026-01-25D00:29:43.000000000,52,66.62
2026-01-25D00:33:46.000000000,53,66.49
2026-01-25D00:36:18.000000000,57,67.55
2026-01-25D00:40:09.000000000,57,65.16
2026-01-25D00:44:17.000000000,59,66.71
2026-01-25D00:47:42.000000000,55,67.95
2026-01-25D00:50:20.000000000,59,63.17
2026-01-25D00:51:37.000000000,54,64.66
2026-01-25D00:55:02.000000000,60,68.99
2026-01-25D00:55:23.000000000,62,68
2026-01-25D00:57:36.000000000,49,63.38
2026-01-25D01:01:17.000000000,65,65.69
2026-01-25D01:02:22.000000000,63,66.56
2026-01-25D01:04:10.000000000,45,63.63
2026-01-25D01:04:56.000000000,56,64.74
2026-01-25D01:05:25.000000000,47,62.94
2026-01-25D01:06:08.000000000,58,63.66
2026-01-25D01:11:03.000000000,54,64.05
2026-01-25D01:13:18.000000000,63,67.36
2026-01-25D01:17:11.000000000,64,63.23
2026-01-25D01:19:03.000000000,56,64.02
2026-01-25D01:21:59.000000000,60,66.09
2026-01-25D01:23:45.000000000,45,61.92
2026-01-25D01:24:01.000000000,51,65.08
2026-01-25D01:28:40.000000000,53,64.98
2026-01-25D01:30:25.000000000,53,63.2
2026-01-25D01:31:13.000000000,55,64.56
2026-01-25D01:31:34.000000000,57,66.42
2026-01-25D01:32:35.000000000,56,61.94
2026-01-25D01:32:51.000000000,83,58.88
2026-01-25D01:34:15.000000000,58,64.75
2026-01-25D01:37:55.000000000,58,63.55
2026-01-25D01:42:23.000000000,58,63.56
2026-01-25D01:44:56.000000000,45,65.6
2026-01-25D01:46:21.000000000,59,64.28
2026-01-25D01:50:00.000000000,61,61.76
2026-01-25D01:53:22.000000000,53,64.72
2026-01-25D01:56:46.000000000,45,66.91
2026-01-25D01:57:15.000000000,62,65.23
2026-01-25D01:58:48.000000000,59,67.61
2026-01-25D02:03:20.000000000,59,64.58
2026-01-25D02:05:47.000000000,53,64.71
2026-01-25D02:06:50.000000000,56,62
2026-01-25D02:07:20.000000000,58,62.59
2026-01-25D02:08:11.000000000,53,62.14
2026-01-25D02:13:03.000000000,59,64.08
2026-01-25D02:17:33.000000000,61,65.06
2026-01-25D02:17:53.000000000,59,62.93
2026-01-25D02:21:16.000000000,61,61.65
2026-01-25D02:26:02.000000000,65,62.39
2026-01-25D02:27:32.000000000,65,66.54
2026-01-25D02:31:46.000000000,55,60.83
2026-01-25D02:36:20.000000000,54,63.33
2026-01-25D02:38:21.000000000,56,62.97
2026-01-25D02:38:32.000000000,60,66.01
2026-01-25D02:40:53.000000000,57,65.52
2026-01-25D02:43:53.000000000,66,62.08
2026-01-25D02:47:32.000000000,58,62.36
2026-01-25D02:48:58.000000000,58,65.76
2026-01-25D02:52:45.000000000,64,64.2
2026-01-25D02:54:32.000000000,60,61.76
2026-01-25D02:59:09.000000000,58,63.62
2026-01-25D02:59:27.000000000,58,66.41
2026-01-25D03:02:10.000000000,54,62.05
2026-01-25D03:04:46.000000000,59,65.36
2026-01-25D03:06:38.000000000,56,61.86
2026-01-25D03:09:50.000000000,56,58.99
2026-01-25D03:11:32.000000000,64,62.47
2026-01-25D03:13:47.000000000,65,61.71
2026-01-25D03:18:44.000000000,72,60.82
2026-01-25D03:21:39.000000000,68,64.29
2026-01-25D03:24:46.000000000,67,64.47
2026-01-25D03:25:29.000000000,61,55.72
2026-01-25D03:25:48.000000000,63,60.03
2026-01-25D03:25:56.000000000,68,60
2026-01-25D03:29:30.000000000,62,61.33
2026-01-25D03:32:15.000000000,67,62.13
2026-01-25D03:32:35.000000000,66,56.89
2026-01-25D03:34:27.000000000,69,62.67
2026-01-25D03:38:18.000000000,67,62.41
2026-01-25D03:41:12.000000000,60,57.03
2026-01-25D03:41:50.000000000,68,61.97
